t,m_req,redundancy
0.77600000,1,50.00000000
0.77800000,1,50.00000000
0.78000000,1,50.00000000
0.78200000,1,50.00000000
0.78400000,1,50.00000000
0.78600000,1,50.00000000
0.78800000,1,50.00000000
0.79000000,1,50.00000000
0.79200000,1,50.00000000
0.79400000,1,50.00000000
0.79600000,1,50.00000000
0.79800000,1,50.00000000
0.80000000,1,50.00000000
0.80200000,1,50.00000000
0.80400000,1,50.00000000
0.80600000,1,50.00000000
0.80800000,1,50.00000000
0.81000000,1,50.00000000
0.81200000,1,50.00000000
0.81400000,1,50.00000000
0.81600000,1,50.00000000
0.81800000,1,50.00000000
0.82000000,1,50.00000000
0.82200000,1,50.00000000
0.82400000,1,50.00000000
0.82600000,1,50.00000000
0.82800000,1,50.00000000
0.83000000,1,50.00000000
0.83200000,1,50.00000000
0.83400000,1,50.00000000
0.83600000,1,50.00000000
0.83800000,1,50.00000000
0.84000000,1,50.00000000
0.84200000,1,50.00000000
0.84400000,1,50.00000000
0.84600000,1,50.00000000
0.84800000,1,50.00000000
0.85000000,1,50.00000000
0.85200000,1,50.00000000
0.85400000,1,50.00000000
0.85600000,1,50.00000000
0.85800000,1,50.00000000
0.86000000,1,50.00000000
0.86200000,1,50.00000000
0.86400000,1,50.00000000
0.86600000,1,50.00000000
0.86800000,1,50.00000000
0.87000000,1,50.00000000
0.87200000,1,50.00000000
0.87400000,1,50.00000000
0.87600000,1,50.00000000
0.87800000,1,50.00000000
0.88000000,1,50.00000000
0.88200000,1,50.00000000
0.88400000,1,50.00000000
0.88600000,1,50.00000000
0.88800000,1,50.00000000
0.89000000,1,50.00000000
0.89200000,1,50.00000000
0.89400000,1,50.00000000
0.89600000,1,50.00000000
0.89800000,1,50.00000000
0.90000000,1,50.00000000
0.90200000,1,50.00000000
0.90400000,1,50.00000000
0.90600000,1,50.00000000
0.90800000,1,50.00000000
0.91000000,1,50.00000000
0.91200000,1,50.00000000
0.91400000,1,50.00000000
0.91600000,1,50.00000000
0.91800000,1,50.00000000
0.92000000,1,50.00000000
0.92200000,1,50.00000000
0.92400000,1,50.00000000
0.92600000,1,50.00000000
0.92800000,1,50.00000000
0.93000000,1,50.00000000
0.93200000,1,50.00000000
0.93400000,1,50.00000000
0.93600000,1,50.00000000
0.93800000,1,50.00000000
0.94000000,1,50.00000000
0.94200000,1,50.00000000
0.94400000,1,50.00000000
0.94600000,1,50.00000000
0.94800000,1,50.00000000
0.95000000,1,50.00000000
0.95200000,1,50.00000000
0.95400000,1,50.00000000
0.95600000,1,50.00000000
0.95800000,1,50.00000000
0.96000000,1,50.00000000
0.96200000,1,50.00000000
0.96400000,1,50.00000000
0.96600000,1,50.00000000
0.96800000,1,50.00000000
0.97000000,1,50.00000000
0.97200000,1,50.00000000
0.97400000,1,50.00000000
0.97600000,1,50.00000000
0.97800000,1,50.00000000
0.98000000,1,50.00000000
0.98200000,1,50.00000000
0.98400000,1,50.00000000
0.98600000,2,25.00000000
0.98800000,2,25.00000000
0.99000000,2,25.00000000
0.99200000,2,25.00000000
0.99400000,2,25.00000000
0.99600000,2,25.00000000
0.99800000,2,25.00000000
1.00000000,2,25.00000000
1.00200000,2,25.00000000
1.00400000,2,25.00000000
1.00600000,2,25.00000000
1.00800000,2,25.00000000
1.01000000,2,25.00000000
1.01200000,2,25.00000000
1.01400000,2,25.00000000
1.01600000,2,25.00000000
1.01800000,2,25.00000000
1.02000000,2,25.00000000
1.02200000,2,25.00000000
1.02400000,2,25.00000000
1.02600000,2,25.00000000
1.02800000,2,25.00000000
1.03000000,2,25.00000000
1.03200000,2,25.00000000
1.03400000,2,25.00000000
1.03600000,2,25.00000000
1.03800000,2,25.00000000
1.04000000,2,25.00000000
1.04200000,2,25.00000000
1.04400000,2,25.00000000
1.04600000,2,25.00000000
1.04800000,2,25.00000000
1.05000000,2,25.00000000
1.05200000,2,25.00000000
1.05400000,2,25.00000000
1.05600000,2,25.00000000
1.05800000,2,25.00000000
1.06000000,2,25.00000000
1.06200000,2,25.00000000
1.06400000,2,25.00000000
1.06600000,2,25.00000000
1.06800000,2,25.00000000
1.07000000,2,25.00000000
1.07200000,2,25.00000000
1.07400000,2,25.00000000
1.07600000,2,25.00000000
1.07800000,2,25.00000000
1.08000000,2,25.00000000
1.08200000,2,25.00000000
1.08400000,2,25.00000000
1.08600000,2,25.00000000
1.08800000,3,16.66666667
1.09000000,3,16.66666667
1.09200000,3,16.66666667
1.09400000,3,16.66666667
1.09600000,3,16.66666667
1.09800000,3,16.66666667
1.10000000,3,16.66666667
1.10200000,3,16.66666667
1.10400000,3,16.66666667
1.10600000,3,16.66666667
1.10800000,3,16.66666667
1.11000000,3,16.66666667
1.11200000,3,16.66666667
1.11400000,3,16.66666667
1.11600000,3,16.66666667
1.11800000,3,16.66666667
1.12000000,3,16.66666667
1.12200000,3,16.66666667
1.12400000,3,16.66666667
1.12600000,3,16.66666667
1.12800000,3,16.66666667
1.13000000,3,16.66666667
1.13200000,3,16.66666667
1.13400000,3,16.66666667
1.13600000,3,16.66666667
1.13800000,3,16.66666667
1.14000000,3,16.66666667
1.14200000,3,16.66666667
1.14400000,3,16.66666667
1.14600000,3,16.66666667
1.14800000,3,16.66666667
1.15000000,3,16.66666667
1.15200000,3,16.66666667
1.15400000,3,16.66666667
1.15600000,3,16.66666667
1.15800000,3,16.66666667
1.16000000,3,16.66666667
1.16200000,3,16.66666667
1.16400000,3,16.66666667
1.16600000,3,16.66666667
1.16800000,3,16.66666667
1.17000000,3,16.66666667
1.17200000,3,16.66666667
1.17400000,3,16.66666667
1.17600000,3,16.66666667
1.17800000,4,12.50000000
1.18000000,4,12.50000000
1.18200000,4,12.50000000
1.18400000,4,12.50000000
1.18600000,4,12.50000000
1.18800000,4,12.50000000
1.19000000,4,12.50000000
1.19200000,4,12.50000000
1.19400000,4,12.50000000
1.19600000,4,12.50000000
1.19800000,4,12.50000000
1.20000000,4,12.50000000
1.20200000,4,12.50000000
1.20400000,4,12.50000000
1.20600000,4,12.50000000
1.20800000,4,12.50000000
1.21000000,4,12.50000000
1.21200000,4,12.50000000
1.21400000,4,12.50000000
1.21600000,4,12.50000000
1.21800000,4,12.50000000
1.22000000,4,12.50000000
1.22200000,4,12.50000000
1.22400000,4,12.50000000
1.22600000,4,12.50000000
1.22800000,4,12.50000000
