seed,agent,K,F,T,stakes,structure,total_reward,total_penalty,utility,cognitive_cost,cost_adjusted_utility,dual_picks,switches
3,Network-NoTest,50,5,80,0.75,structured,69.41003993926836,0.4440427529951698,68.96599718627319,1.729,67.23699718627319,19.0,0.0
3,Network-NoUpdate,50,5,80,0.75,structured,57.50268126762666,2.6412846914375754,54.86139657618909,1.72,53.14139657618909,19.0,0.0
3,Dot,50,5,80,1.0,structured,13.837939323760649,197.3602712959077,-183.52233197214704,0.09,-183.61233197214705,8.0,0.0
3,Linear,50,5,80,1.0,structured,103.00644378840654,151.19964775296717,-48.193203964560624,5.155,-53.348203964560625,75.0,0.0
3,Network-Full,50,5,80,1.0,structured,83.23266224767166,0.008724316744285981,83.22393793092736,1.729,81.49493793092736,44.0,0.0
3,Network-NoTest,50,5,80,1.0,structured,88.06299361254091,0.2291110156401439,87.83388259690076,1.711,86.12288259690077,41.0,0.0
3,Network-NoUpdate,50,5,80,1.0,structured,90.19768018591895,0.18326312008969287,90.01441706582926,1.756,88.25841706582926,52.0,0.0
3,Dot,200,5,80,0.0,structured,5.288579110262172,0.0,5.288579110262172,0.09,5.198579110262172,0.0,0.0
3,Linear,200,5,80,0.0,structured,69.54513143369117,0.0,69.54513143369117,18.609,50.936131433691166,0.0,0.0
3,Network-Full,200,5,80,0.0,structured,75.78943907862926,0.0,75.78943907862926,1.765,74.02443907862926,0.0,0.0
3,Network-NoTest,200,5,80,0.0,structured,96.02685399486296,0.0,96.02685399486296,1.774,94.25285399486296,0.0,0.0
3,Network-NoUpdate,200,5,80,0.0,structured,77.85117219819732,0.0,77.85117219819732,1.702,76.14917219819732,0.0,0.0
3,Dot,200,5,80,0.25,structured,7.221715833691966,0.5894909793495369,6.632224854342429,0.09,6.542224854342429,0.0,0.0
3,Linear,200,5,80,0.25,structured,56.122760748780394,101.50650277420307,-45.38374202542268,19.206,-64.58974202542268,0.0,0.0
3,Network-Full,200,5,80,0.25,structured,28.601145700147637,4.556534686340619,24.044611013807017,1.765,22.279611013807017,0.0,0.0
3,Network-NoTest,200,5,80,0.25,structured,52.34521551884404,0.08803027291953527,52.25718524592451,1.7469999999999999,50.51018524592451,0.0,0.0
3,Network-NoUpdate,200,5,80,0.25,structured,53.90360329755538,0.008997227645310654,53.89460606991007,1.7469999999999999,52.14760606991007,0.0,0.0
3,Dot,200,5,80,0.5,structured,8.597374437451267,1.416176075053648,7.181198362397619,0.09,7.091198362397619,0.0,0.0
3,Linear,200,5,80,0.5,structured,28.531697549375963,1865.5886816170564,-1837.0569840676803,18.609,-1855.6659840676803,0.0,0.0
3,Network-Full,200,5,80,0.5,structured,57.096027264305654,1.748254504718716e-06,57.09602551605115,1.738,55.35802551605115,0.0,0.0
3,Network-NoTest,200,5,80,0.5,structured,57.12469068855135,0.4204634138086542,56.70422727474269,1.738,54.96622727474269,0.0,0.0
3,Network-NoUpdate,200,5,80,0.5,structured,46.07085577715605,0.00017805734914844162,46.0706777198069,1.783,44.2876777198069,0.0,0.0
3,Dot,200,5,80,0.75,structured,-7.995857225602348,12.508698104810518,-20.504555330412867,0.09,-20.594555330412867,0.0,0.0
3,Linear,200,5,80,0.75,structured,46.655436738979965,0.5048316499642986,46.15060508901567,19.405,26.74560508901567,0.0,0.0
